T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
446,"China, Macao SAR",1995,GDP in current prices (millions of US dollars),"7,046",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2005,GDP in current prices (millions of US dollars),"12,160",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2010,GDP in current prices (millions of US dollars),"28,242",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2015,GDP in current prices (millions of US dollars),"45,048",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2020,GDP in current prices (millions of US dollars),"25,344",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2022,GDP in current prices (millions of US dollars),"24,999",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2023,GDP in current prices (millions of US dollars),"45,803",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",1995,GDP per capita (US dollars),"17,673",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2005,GDP per capita (US dollars),"24,545",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2010,GDP per capita (US dollars),"50,180",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2015,GDP per capita (US dollars),"72,404",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2020,GDP per capita (US dollars),"37,103",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2022,GDP per capita (US dollars),"35,492",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2023,GDP per capita (US dollars),"64,158",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",1995,GDP in constant 2015 prices (millions of US dollars),"13,978",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2005,GDP in constant 2015 prices (millions of US dollars),"23,417",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2010,GDP in constant 2015 prices (millions of US dollars),"39,823",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2015,GDP in constant 2015 prices (millions of US dollars),"45,048",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2020,GDP in constant 2015 prices (millions of US dollars),"23,271",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2022,GDP in constant 2015 prices (millions of US dollars),"23,111",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2023,GDP in constant 2015 prices (millions of US dollars),"40,458",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",1995,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2005,GDP real rates of growth (percent),8.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2010,GDP real rates of growth (percent),25.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2015,GDP real rates of growth (percent),-21.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2020,GDP real rates of growth (percent),-54.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2022,GDP real rates of growth (percent),-19.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
446,"China, Macao SAR",2023,GDP real rates of growth (percent),75.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,1995,GDP in current prices (millions of US dollars),"109,571",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2005,GDP in current prices (millions of US dollars),"145,601",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2010,GDP in current prices (millions of US dollars),"286,499",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2015,GDP in current prices (millions of US dollars),"293,492",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2020,GDP in current prices (millions of US dollars),"270,348",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2022,GDP in current prices (millions of US dollars),"345,330",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2023,GDP in current prices (millions of US dollars),"363,540",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,1995,GDP per capita (US dollars),"3,060",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2005,GDP per capita (US dollars),"3,456",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2010,GDP per capita (US dollars),"6,398",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2015,GDP per capita (US dollars),"6,249",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2020,GDP per capita (US dollars),"5,340",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2022,GDP per capita (US dollars),"6,675",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2023,GDP per capita (US dollars),"6,948",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,1995,GDP in constant 2015 prices (millions of US dollars),"150,187",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2005,GDP in constant 2015 prices (millions of US dollars),"187,780",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2010,GDP in constant 2015 prices (millions of US dollars),"233,480",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2015,GDP in constant 2015 prices (millions of US dollars),"293,492",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2020,GDP in constant 2015 prices (millions of US dollars),"298,310",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2022,GDP in constant 2015 prices (millions of US dollars),"354,623",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2023,GDP in constant 2015 prices (millions of US dollars),"357,448",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,1995,GDP real rates of growth (percent),5.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2005,GDP real rates of growth (percent),4.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2010,GDP real rates of growth (percent),4.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2015,GDP real rates of growth (percent),3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2020,GDP real rates of growth (percent),-7.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2022,GDP real rates of growth (percent),7.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
170,Colombia,2023,GDP real rates of growth (percent),0.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,1995,GDP in current prices (millions of US dollars),483,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2005,GDP in current prices (millions of US dollars),788,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2010,GDP in current prices (millions of US dollars),908,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2015,GDP in current prices (millions of US dollars),966,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2020,GDP in current prices (millions of US dollars),"1,224",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2022,GDP in current prices (millions of US dollars),"1,295",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2023,GDP in current prices (millions of US dollars),"1,448",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,1995,GDP per capita (US dollars),985,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2005,GDP per capita (US dollars),"1,329",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2010,GDP per capita (US dollars),"1,387",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2015,GDP per capita (US dollars),"1,329",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2020,GDP per capita (US dollars),"1,526",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2022,GDP per capita (US dollars),"1,553",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2023,GDP per capita (US dollars),"1,703",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,1995,GDP in constant 2015 prices (millions of US dollars),612,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2005,GDP in constant 2015 prices (millions of US dollars),744,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2010,GDP in constant 2015 prices (millions of US dollars),743,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2015,GDP in constant 2015 prices (millions of US dollars),966,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2020,GDP in constant 2015 prices (millions of US dollars),"1,176",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2022,GDP in constant 2015 prices (millions of US dollars),"1,245",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2023,GDP in constant 2015 prices (millions of US dollars),"1,401",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,1995,GDP real rates of growth (percent),3.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2005,GDP real rates of growth (percent),2.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2010,GDP real rates of growth (percent),4.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2015,GDP real rates of growth (percent),2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2020,GDP real rates of growth (percent),4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2022,GDP real rates of growth (percent),3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
174,Comoros,2023,GDP real rates of growth (percent),12.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,1995,GDP in current prices (millions of US dollars),"2,457",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2005,GDP in current prices (millions of US dollars),"6,650",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2010,GDP in current prices (millions of US dollars),"13,148",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2015,GDP in current prices (millions of US dollars),"12,435",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2020,GDP in current prices (millions of US dollars),"11,469",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2022,GDP in current prices (millions of US dollars),"13,937",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2023,GDP in current prices (millions of US dollars),"14,167",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,1995,GDP per capita (US dollars),894,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2005,GDP per capita (US dollars),"1,799",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2010,GDP per capita (US dollars),"2,947",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2015,GDP per capita (US dollars),"2,439",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2020,GDP per capita (US dollars),"1,994",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2022,GDP per capita (US dollars),"2,309",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2023,GDP per capita (US dollars),"2,291",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,1995,GDP in constant 2015 prices (millions of US dollars),"6,255",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2005,GDP in constant 2015 prices (millions of US dollars),"7,910",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2010,GDP in constant 2015 prices (millions of US dollars),"10,407",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2015,GDP in constant 2015 prices (millions of US dollars),"12,435",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2020,GDP in constant 2015 prices (millions of US dollars),"9,807",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2022,GDP in constant 2015 prices (millions of US dollars),"10,212",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2023,GDP in constant 2015 prices (millions of US dollars),"10,414",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,1995,GDP real rates of growth (percent),4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2005,GDP real rates of growth (percent),9.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2010,GDP real rates of growth (percent),9.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2015,GDP real rates of growth (percent),0.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2020,GDP real rates of growth (percent),-6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2022,GDP real rates of growth (percent),1.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
178,Congo,2023,GDP real rates of growth (percent),2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,1995,GDP in current prices (millions of US dollars),116,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2005,GDP in current prices (millions of US dollars),199,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2010,GDP in current prices (millions of US dollars),241,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2015,GDP in current prices (millions of US dollars),302,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2020,GDP in current prices (millions of US dollars),283,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2022,GDP in current prices (millions of US dollars),290,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2023,GDP in current prices (millions of US dollars),366,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,1995,GDP per capita (US dollars),"6,500",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2005,GDP per capita (US dollars),"13,164",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2010,GDP per capita (US dollars),"14,184",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2015,GDP per capita (US dollars),"17,320",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2020,GDP per capita (US dollars),"18,116",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2022,GDP per capita (US dollars),"19,680",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2023,GDP per capita (US dollars),"25,750",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,1995,GDP in constant 2015 prices (millions of US dollars),207,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2005,GDP in constant 2015 prices (millions of US dollars),265,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2010,GDP in constant 2015 prices (millions of US dollars),266,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2015,GDP in constant 2015 prices (millions of US dollars),302,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2020,GDP in constant 2015 prices (millions of US dollars),287,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2022,GDP in constant 2015 prices (millions of US dollars),306,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2023,GDP in constant 2015 prices (millions of US dollars),365,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,1995,GDP real rates of growth (percent),-4.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2005,GDP real rates of growth (percent),-1.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2010,GDP real rates of growth (percent),-4.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2015,GDP real rates of growth (percent),5.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2020,GDP real rates of growth (percent),-25.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2022,GDP real rates of growth (percent),28.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
184,Cook Islands,2023,GDP real rates of growth (percent),19.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,1995,GDP in current prices (millions of US dollars),"11,572",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2005,GDP in current prices (millions of US dollars),"20,045",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2010,GDP in current prices (millions of US dollars),"37,659",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2015,GDP in current prices (millions of US dollars),"56,442",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2020,GDP in current prices (millions of US dollars),"62,396",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2022,GDP in current prices (millions of US dollars),"69,244",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2023,GDP in current prices (millions of US dollars),"86,498",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,1995,GDP per capita (US dollars),"3,273",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2005,GDP per capita (US dollars),"4,704",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2010,GDP per capita (US dollars),"8,266",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2015,GDP per capita (US dollars),"11,715",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2020,GDP per capita (US dollars),"12,394",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2022,GDP per capita (US dollars),"13,626",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2023,GDP per capita (US dollars),"16,942",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,1995,GDP in constant 2015 prices (millions of US dollars),"24,537",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2005,GDP in constant 2015 prices (millions of US dollars),"36,882",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2010,GDP in constant 2015 prices (millions of US dollars),"46,858",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2015,GDP in constant 2015 prices (millions of US dollars),"56,442",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2020,GDP in constant 2015 prices (millions of US dollars),"61,631",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2022,GDP in constant 2015 prices (millions of US dollars),"69,550",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
188,Costa Rica,2023,GDP in constant 2015 prices (millions of US dollars),"73,105",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
