T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
2,Africa,2023,GDP in current prices (millions of US dollars),"2,807,066",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,1995,GDP per capita (US dollars),826,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2005,GDP per capita (US dollars),"1,244",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2010,GDP per capita (US dollars),"1,910",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2015,GDP per capita (US dollars),"1,984",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2020,GDP per capita (US dollars),"1,799",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2022,GDP per capita (US dollars),"2,013",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2023,GDP per capita (US dollars),"1,898",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,1995,GDP in constant 2015 prices (millions of US dollars),"987,958",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2005,GDP in constant 2015 prices (millions of US dollars),"1,537,908",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2010,GDP in constant 2015 prices (millions of US dollars),"2,007,594",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2015,GDP in constant 2015 prices (millions of US dollars),"2,417,147",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2020,GDP in constant 2015 prices (millions of US dollars),"2,640,654",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2022,GDP in constant 2015 prices (millions of US dollars),"2,869,391",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2023,GDP in constant 2015 prices (millions of US dollars),"2,957,974",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,1995,GDP real rates of growth (percent),2.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2005,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2010,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2015,GDP real rates of growth (percent),3.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2020,GDP real rates of growth (percent),-2.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2022,GDP real rates of growth (percent),3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
2,Africa,2023,GDP real rates of growth (percent),3.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,1995,GDP in current prices (millions of US dollars),"207,392",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2005,GDP in current prices (millions of US dollars),"376,507",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2010,GDP in current prices (millions of US dollars),"646,437",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2015,GDP in current prices (millions of US dollars),"772,568",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2020,GDP in current prices (millions of US dollars),"794,429",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2022,GDP in current prices (millions of US dollars),"891,079",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2023,GDP in current prices (millions of US dollars),"850,245",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,1995,GDP per capita (US dollars),"1,261",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2005,GDP per capita (US dollars),"1,887",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2010,GDP per capita (US dollars),"3,071",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2015,GDP per capita (US dollars),"3,327",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2020,GDP per capita (US dollars),"3,106",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2022,GDP per capita (US dollars),"3,373",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2023,GDP per capita (US dollars),"3,173",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,1995,GDP in constant 2015 prices (millions of US dollars),"356,511",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2005,GDP in constant 2015 prices (millions of US dollars),"558,373",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2010,GDP in constant 2015 prices (millions of US dollars),"700,095",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2015,GDP in constant 2015 prices (millions of US dollars),"772,568",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2020,GDP in constant 2015 prices (millions of US dollars),"865,080",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2022,GDP in constant 2015 prices (millions of US dollars),"943,096",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2023,GDP in constant 2015 prices (millions of US dollars),"965,183",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,1995,GDP real rates of growth (percent),2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2005,GDP real rates of growth (percent),6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2010,GDP real rates of growth (percent),5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2015,GDP real rates of growth (percent),3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2020,GDP real rates of growth (percent),-3.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2022,GDP real rates of growth (percent),3.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
15,Northern Africa,2023,GDP real rates of growth (percent),2.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,1995,GDP in current prices (millions of US dollars),"397,271",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2005,GDP in current prices (millions of US dollars),"794,614",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2010,GDP in current prices (millions of US dollars),"1,398,782",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2015,GDP in current prices (millions of US dollars),"1,644,579",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2020,GDP in current prices (millions of US dollars),"1,687,118",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2022,GDP in current prices (millions of US dollars),"2,018,368",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2023,GDP in current prices (millions of US dollars),"1,956,820",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,1995,GDP per capita (US dollars),700,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2005,GDP per capita (US dollars),"1,071",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2010,GDP per capita (US dollars),"1,626",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2015,GDP per capita (US dollars),"1,667",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2020,GDP per capita (US dollars),"1,502",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2022,GDP per capita (US dollars),"1,709",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2023,GDP per capita (US dollars),"1,616",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,1995,GDP in constant 2015 prices (millions of US dollars),"631,448",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2005,GDP in constant 2015 prices (millions of US dollars),"979,535",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2010,GDP in constant 2015 prices (millions of US dollars),"1,307,499",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2015,GDP in constant 2015 prices (millions of US dollars),"1,644,579",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2020,GDP in constant 2015 prices (millions of US dollars),"1,775,574",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2022,GDP in constant 2015 prices (millions of US dollars),"1,926,295",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2023,GDP in constant 2015 prices (millions of US dollars),"1,992,792",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,1995,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2005,GDP real rates of growth (percent),6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2010,GDP real rates of growth (percent),6.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2015,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2020,GDP real rates of growth (percent),-2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2022,GDP real rates of growth (percent),3.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
202,Sub-Saharan Africa,2023,GDP real rates of growth (percent),3.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,1995,GDP in current prices (millions of US dollars),"71,188",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2005,GDP in current prices (millions of US dollars),"117,407",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2010,GDP in current prices (millions of US dollars),"236,264",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2015,GDP in current prices (millions of US dollars),"332,399",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2020,GDP in current prices (millions of US dollars),"425,104",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2022,GDP in current prices (millions of US dollars),"513,796",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2023,GDP in current prices (millions of US dollars),"564,958",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,1995,GDP per capita (US dollars),326,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2005,GDP per capita (US dollars),404,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2010,GDP per capita (US dollars),686,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2015,GDP per capita (US dollars),843,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2020,GDP per capita (US dollars),945,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2022,GDP per capita (US dollars),"1,084",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2023,GDP per capita (US dollars),"1,161",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,1995,GDP in constant 2015 prices (millions of US dollars),"110,564",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2005,GDP in constant 2015 prices (millions of US dollars),"166,276",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2010,GDP in constant 2015 prices (millions of US dollars),"245,944",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2015,GDP in constant 2015 prices (millions of US dollars),"332,399",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2020,GDP in constant 2015 prices (millions of US dollars),"411,494",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2022,GDP in constant 2015 prices (millions of US dollars),"456,451",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2023,GDP in constant 2015 prices (millions of US dollars),"481,837",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,1995,GDP real rates of growth (percent),4.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2005,GDP real rates of growth (percent),6.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2010,GDP real rates of growth (percent),9.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2015,GDP real rates of growth (percent),6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2020,GDP real rates of growth (percent),0.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2022,GDP real rates of growth (percent),5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
14,Eastern Africa,2023,GDP real rates of growth (percent),5.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,1995,GDP in current prices (millions of US dollars),"37,554",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2005,GDP in current prices (millions of US dollars),"101,424",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2010,GDP in current prices (millions of US dollars),"191,236",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2015,GDP in current prices (millions of US dollars),"242,751",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2020,GDP in current prices (millions of US dollars),"195,037",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
